Station,direction,id,date,time,num,dest,delay,type
65165,Changhua,backward,1,weekday,not_commuting_time,2561,Changhua,long_delay,4
65166,Changhua,backward,2,weekday,not_commuting_time,3137,Chaozhou,no_delay,4
65167,Changhua,backward,3,weekday,not_commuting_time,2703,Checheng,no_delay,4
65168,Changhua,backward,4,weekday,not_commuting_time,501,Chaozhou,short_delay,3
65169,Changhua,backward,5,weekday,not_commuting_time,2501,Changhua,no_delay,4
65170,Changhua,backward,6,weekday,not_commuting_time,3143,Xinying,no_delay,4
65171,Changhua,backward,7,weekday,not_commuting_time,101,Chaozhou,short_delay,2
65172,Changhua,backward,8,weekday,to_work,751,Taitung,short_delay,3
65173,Changhua,backward,9,weekday,to_work,3147,Chaozhou,no_delay,4
65174,Changhua,backward,10,weekday,to_work,2003,Chiayi,no_delay,4
65175,Changhua,backward,11,weekday,to_work,2101,Tianzhong,short_delay,4
65176,Changhua,backward,12,weekday,to_work,2503,Changhua,no_delay,4
65177,Changhua,backward,13,weekday,to_work,371,Taitung,no_delay,2
65178,Changhua,backward,14,weekday,to_work,2103,Chiayi,no_delay,4
65179,Changhua,backward,15,weekday,to_work,2507,Changhua,short_delay,4
65180,Changhua,backward,16,weekday,to_work,3157,Chaozhou,short_delay,4
65181,Changhua,backward,17,weekday,to_work,2113,Chiayi,no_delay,4
65182,Changhua,backward,18,weekday,to_work,2115,Changhua,no_delay,4
65183,Changhua,backward,19,weekday,to_work,2011,Changhua,no_delay,4
65184,Changhua,backward,20,weekday,to_work,167,Chaozhou,no_delay,2
65185,Changhua,backward,21,weekday,to_work,3167,Chaozhou,no_delay,4
65186,Changhua,backward,22,weekday,to_work,2511,Changhua,short_delay,4
65187,Changhua,backward,23,weekday,to_work,1,Taipei Surround Island,short_delay,3
65188,Changhua,backward,24,weekday,to_work,2707,Checheng,no_delay,4
65189,Changhua,backward,25,weekday,not_commuting_time,2123,Chiayi,no_delay,4
65190,Changhua,backward,26,weekday,not_commuting_time,103,Chaozhou,long_delay,2
65191,Changhua,backward,27,weekday,not_commuting_time,3177,Chaozhou,short_delay,4
65192,Changhua,backward,28,weekday,not_commuting_time,2131,Changhua,no_delay,4
65193,Changhua,backward,29,weekday,not_commuting_time,105,Pingtung,no_delay,2
65194,Changhua,backward,30,weekday,not_commuting_time,2133,Chiayi,short_delay,4
65195,Changhua,backward,31,weekday,not_commuting_time,3187,Chaozhou,no_delay,4
65196,Changhua,backward,32,weekday,not_commuting_time,2513,Changhua,no_delay,4
65197,Changhua,backward,33,weekday,not_commuting_time,2143,Chiayi,no_delay,4
65198,Changhua,backward,34,weekday,not_commuting_time,109,Changhua,long_delay,2
65199,Changhua,backward,35,weekday,not_commuting_time,113,Pingtung,short_delay,2
65200,Changhua,backward,36,weekday,not_commuting_time,507,Xinzuoying,short_delay,3
65201,Changhua,backward,37,weekday,not_commuting_time,3197,Chaozhou,no_delay,4
65202,Changhua,backward,38,weekday,not_commuting_time,2517,Changhua,long_delay,4
65203,Changhua,backward,39,weekday,not_commuting_time,115,Pingtung,short_delay,2
65204,Changhua,backward,40,weekday,not_commuting_time,2149,Changhua,short_delay,4
65205,Changhua,backward,41,weekday,not_commuting_time,2153,Chiayi,no_delay,4
65206,Changhua,backward,42,weekday,not_commuting_time,2521,Changhua,short_delay,4
65207,Changhua,backward,43,weekday,not_commuting_time,3207,Pingtung,short_delay,4
65208,Changhua,backward,44,weekday,not_commuting_time,117,Chaozhou,long_delay,2
65209,Changhua,backward,45,weekday,not_commuting_time,511,Chaozhou,long_delay,3
65210,Changhua,backward,46,weekday,not_commuting_time,2163,Chiayi,short_delay,4
65211,Changhua,backward,47,weekday,not_commuting_time,3217,Chaozhou,no_delay,4
