Station,direction,id,date,time,num,dest,delay,type
41857,Chenggong,backward,1,weekday,to_work,3147,Chaozhou,no_delay,4
41858,Chenggong,backward,2,weekday,to_work,2601,Fengyuan,short_delay,4
41859,Chenggong,backward,3,weekday,to_work,2101,Tianzhong,no_delay,4
41860,Chenggong,backward,4,weekday,to_work,2603,Fengyuan,short_delay,4
41861,Chenggong,backward,5,weekday,to_work,2103,Chiayi,no_delay,4
41862,Chenggong,backward,6,weekday,to_work,3157,Chaozhou,no_delay,4
41863,Chenggong,backward,7,weekday,to_work,2113,Chiayi,no_delay,4
41864,Chenggong,backward,8,weekday,to_work,2607,Fengyuan,no_delay,4
41865,Chenggong,backward,9,weekday,to_work,2115,Changhua,no_delay,4
41866,Chenggong,backward,10,weekday,to_work,3167,Chaozhou,no_delay,4
41867,Chenggong,backward,11,weekday,to_work,2123,Chiayi,short_delay,4
41868,Chenggong,backward,12,weekday,not_commuting_time,3177,Chaozhou,no_delay,4
41869,Chenggong,backward,13,weekday,not_commuting_time,2131,Changhua,no_delay,4
41870,Chenggong,backward,14,weekday,not_commuting_time,2133,Chiayi,no_delay,4
41871,Chenggong,backward,15,weekday,not_commuting_time,2611,Fengyuan,short_delay,4
41872,Chenggong,backward,16,weekday,not_commuting_time,3187,Chaozhou,short_delay,4
41873,Chenggong,backward,17,weekday,not_commuting_time,2143,Chiayi,no_delay,4
41874,Chenggong,backward,18,weekday,not_commuting_time,3197,Chaozhou,no_delay,4
41875,Chenggong,backward,19,weekday,not_commuting_time,2149,Changhua,short_delay,4
41876,Chenggong,backward,20,weekday,not_commuting_time,2613,Fengyuan,short_delay,4
41877,Chenggong,backward,21,weekday,not_commuting_time,2153,Chiayi,no_delay,4
41878,Chenggong,backward,22,weekday,not_commuting_time,3207,Pingtung,no_delay,4
41879,Chenggong,backward,23,weekday,not_commuting_time,2615,Fengyuan,short_delay,4
41880,Chenggong,backward,24,weekday,not_commuting_time,2163,Chiayi,short_delay,4
41881,Chenggong,backward,25,weekday,not_commuting_time,3217,Chaozhou,no_delay,4
41882,Chenggong,backward,26,weekday,not_commuting_time,2173,Chiayi,long_delay,4
41883,Chenggong,backward,27,weekday,not_commuting_time,3227,Chaozhou,short_delay,4
41884,Chenggong,backward,28,weekday,not_commuting_time,2617,Fengyuan,short_delay,4
41885,Chenggong,backward,29,weekday,not_commuting_time,2183,Chiayi,no_delay,4
41886,Chenggong,backward,30,weekday,not_commuting_time,3237,Chaozhou,long_delay,4
41887,Chenggong,backward,31,weekday,not_commuting_time,2619,Miaoli,short_delay,4
41888,Chenggong,backward,32,weekday,not_commuting_time,2191,Changhua,short_delay,4
