Station,direction,id,date,time,num,dest,delay,type
24882,Taichung,backward,1,weekday,not_commuting_time,101,Chaozhou,no_delay,2
24883,Taichung,backward,2,weekday,to_work,3147,Chaozhou,no_delay,4
24884,Taichung,backward,3,weekday,to_work,2101,Tianzhong,no_delay,4
24885,Taichung,backward,4,weekday,to_work,2601,Fengyuan,no_delay,4
24886,Taichung,backward,5,weekday,to_work,371,Taitung,no_delay,2
24887,Taichung,backward,6,weekday,to_work,2103,Chiayi,no_delay,4
24888,Taichung,backward,7,weekday,to_work,3157,Chaozhou,no_delay,4
24889,Taichung,backward,8,weekday,to_work,2603,Fengyuan,no_delay,4
24890,Taichung,backward,9,weekday,to_work,2113,Chiayi,no_delay,4
24891,Taichung,backward,10,weekday,to_work,2115,Changhua,no_delay,4
24892,Taichung,backward,11,weekday,to_work,2011,Changhua,short_delay,4
24893,Taichung,backward,12,weekday,to_work,3167,Chaozhou,no_delay,4
24894,Taichung,backward,13,weekday,to_work,2607,Fengyuan,no_delay,4
24895,Taichung,backward,14,weekday,to_work,1,Taipei Surround Island,no_delay,3
24896,Taichung,backward,15,weekday,to_work,2123,Chiayi,no_delay,4
24897,Taichung,backward,16,weekday,to_work,3177,Chaozhou,no_delay,4
24898,Taichung,backward,17,weekday,not_commuting_time,2131,Changhua,no_delay,4
24899,Taichung,backward,18,weekday,not_commuting_time,105,Pingtung,no_delay,2
24900,Taichung,backward,19,weekday,not_commuting_time,2133,Chiayi,no_delay,4
24901,Taichung,backward,20,weekday,not_commuting_time,111,Farliao,short_delay,1
24902,Taichung,backward,21,weekday,not_commuting_time,3187,Chaozhou,short_delay,4
24903,Taichung,backward,22,weekday,not_commuting_time,2611,Fengyuan,no_delay,4
24904,Taichung,backward,23,weekday,not_commuting_time,2143,Chiayi,no_delay,4
24905,Taichung,backward,24,weekday,not_commuting_time,113,Pingtung,no_delay,2
24906,Taichung,backward,25,weekday,not_commuting_time,3197,Chaozhou,no_delay,4
24907,Taichung,backward,26,weekday,not_commuting_time,2149,Changhua,no_delay,4
24908,Taichung,backward,27,weekday,not_commuting_time,115,Pingtung,short_delay,2
24909,Taichung,backward,28,weekday,not_commuting_time,2153,Chiayi,no_delay,4
24910,Taichung,backward,29,weekday,not_commuting_time,3207,Pingtung,no_delay,4
24911,Taichung,backward,30,weekday,not_commuting_time,2613,Fengyuan,short_delay,4
24912,Taichung,backward,31,weekday,not_commuting_time,117,Chaozhou,long_delay,2
24913,Taichung,backward,32,weekday,not_commuting_time,2163,Chiayi,no_delay,4
24914,Taichung,backward,33,weekday,not_commuting_time,3217,Chaozhou,no_delay,4
24915,Taichung,backward,34,weekday,not_commuting_time,2615,Fengyuan,no_delay,4
24916,Taichung,backward,35,weekday,not_commuting_time,121,Pingtung,short_delay,2
24917,Taichung,backward,36,weekday,not_commuting_time,2173,Chiayi,long_delay,4
24918,Taichung,backward,37,weekday,not_commuting_time,3227,Chaozhou,no_delay,4
24919,Taichung,backward,38,weekday,not_commuting_time,123,Pingtung,no_delay,2
24920,Taichung,backward,39,weekday,not_commuting_time,2183,Chiayi,no_delay,4
24921,Taichung,backward,40,weekday,not_commuting_time,2617,Fengyuan,no_delay,4
24922,Taichung,backward,41,weekday,not_commuting_time,271,Changhua,short_delay,1
24923,Taichung,backward,42,weekday,not_commuting_time,3237,Chaozhou,short_delay,4
24924,Taichung,backward,43,weekday,not_commuting_time,127,Chaozhou,long_delay,1
24925,Taichung,backward,44,weekday,not_commuting_time,125,Pingtung,short_delay,2
24926,Taichung,backward,45,weekday,not_commuting_time,2191,Changhua,short_delay,4
24927,Taichung,backward,46,weekday,not_commuting_time,2193,Chiayi,short_delay,4
24928,Taichung,backward,47,weekday,not_commuting_time,2619,Miaoli,no_delay,4
24929,Taichung,backward,48,weekday,not_commuting_time,3247,Chaozhou,no_delay,4
24930,Taichung,backward,49,weekday,not_commuting_time,2017,Yuanlin,no_delay,4
24931,Taichung,backward,50,weekday,not_commuting_time,129,Farliao,no_delay,2
24932,Taichung,backward,51,weekday,not_commuting_time,2203,Chiayi,no_delay,4
24933,Taichung,backward,52,weekday,not_commuting_time,2621,Fengyuan,no_delay,4
24934,Taichung,backward,53,weekday,not_commuting_time,3257,Chaozhou,no_delay,4
24935,Taichung,backward,54,weekday,off_work,135,Pingtung,long_delay,2
24936,Taichung,backward,55,weekday,off_work,273,Changhua,long_delay,1
24937,Taichung,backward,56,weekday,off_work,2213,Chiayi,short_delay,4
24938,Taichung,backward,57,weekday,off_work,2021,Changhua,long_delay,4
24939,Taichung,backward,58,weekday,off_work,2623,Fengyuan,short_delay,4
24940,Taichung,backward,59,weekday,off_work,3267,Chaozhou,long_delay,4
24941,Taichung,backward,60,weekday,off_work,2023,Ershui,no_delay,4
24942,Taichung,backward,61,weekday,off_work,175,Chaozhou,long_delay,2
24943,Taichung,backward,62,weekday,off_work,3277,Chaozhou,no_delay,4
24944,Taichung,backward,63,weekday,off_work,2223,Chiayi,no_delay,4
