Station,direction,id,date,time,num,dest,delay,type
52945,Xinwuri,backward,1,weekday,not_commuting_time,101,Chaozhou,short_delay,2
52946,Xinwuri,backward,2,weekday,to_work,3147,Chaozhou,no_delay,4
52947,Xinwuri,backward,3,weekday,to_work,2601,Fengyuan,no_delay,4
52948,Xinwuri,backward,4,weekday,to_work,2101,Tianzhong,no_delay,4
52949,Xinwuri,backward,5,weekday,to_work,2103,Chiayi,no_delay,4
52950,Xinwuri,backward,6,weekday,to_work,2603,Fengyuan,no_delay,4
52951,Xinwuri,backward,7,weekday,to_work,3157,Chaozhou,no_delay,4
52952,Xinwuri,backward,8,weekday,to_work,2113,Chiayi,no_delay,4
52953,Xinwuri,backward,9,weekday,to_work,2607,Fengyuan,no_delay,4
52954,Xinwuri,backward,10,weekday,to_work,2115,Changhua,no_delay,4
52955,Xinwuri,backward,11,weekday,to_work,2011,Changhua,short_delay,4
52956,Xinwuri,backward,12,weekday,to_work,3167,Chaozhou,no_delay,4
52957,Xinwuri,backward,13,weekday,to_work,2123,Chiayi,short_delay,4
52958,Xinwuri,backward,14,weekday,not_commuting_time,3177,Chaozhou,no_delay,4
52959,Xinwuri,backward,15,weekday,not_commuting_time,2131,Changhua,no_delay,4
52960,Xinwuri,backward,16,weekday,not_commuting_time,2133,Chiayi,no_delay,4
52961,Xinwuri,backward,17,weekday,not_commuting_time,3187,Chaozhou,short_delay,4
52962,Xinwuri,backward,18,weekday,not_commuting_time,2611,Fengyuan,no_delay,4
52963,Xinwuri,backward,19,weekday,not_commuting_time,2143,Chiayi,no_delay,4
52964,Xinwuri,backward,20,weekday,not_commuting_time,3197,Chaozhou,no_delay,4
52965,Xinwuri,backward,21,weekday,not_commuting_time,2149,Changhua,short_delay,4
52966,Xinwuri,backward,22,weekday,not_commuting_time,2153,Chiayi,no_delay,4
52967,Xinwuri,backward,23,weekday,not_commuting_time,2613,Fengyuan,short_delay,4
52968,Xinwuri,backward,24,weekday,not_commuting_time,3207,Pingtung,no_delay,4
52969,Xinwuri,backward,25,weekday,not_commuting_time,2163,Chiayi,short_delay,4
52970,Xinwuri,backward,26,weekday,not_commuting_time,2615,Fengyuan,short_delay,4
52971,Xinwuri,backward,27,weekday,not_commuting_time,3217,Chaozhou,no_delay,4
52972,Xinwuri,backward,28,weekday,not_commuting_time,2173,Chiayi,long_delay,4
52973,Xinwuri,backward,29,weekday,not_commuting_time,3227,Chaozhou,no_delay,4
52974,Xinwuri,backward,30,weekday,not_commuting_time,2617,Fengyuan,short_delay,4
52975,Xinwuri,backward,31,weekday,not_commuting_time,2183,Chiayi,no_delay,4
52976,Xinwuri,backward,32,weekday,not_commuting_time,3237,Chaozhou,long_delay,4
52977,Xinwuri,backward,33,weekday,not_commuting_time,2619,Miaoli,short_delay,4
52978,Xinwuri,backward,34,weekday,not_commuting_time,2191,Changhua,short_delay,4
52979,Xinwuri,backward,35,weekday,not_commuting_time,2193,Chiayi,short_delay,4
52980,Xinwuri,backward,36,weekday,not_commuting_time,3247,Chaozhou,no_delay,4
52981,Xinwuri,backward,37,weekday,not_commuting_time,2017,Yuanlin,no_delay,4
52982,Xinwuri,backward,38,weekday,not_commuting_time,2621,Fengyuan,short_delay,4
52983,Xinwuri,backward,39,weekday,not_commuting_time,2203,Chiayi,no_delay,4
52984,Xinwuri,backward,40,weekday,off_work,3257,Chaozhou,no_delay,4
52985,Xinwuri,backward,41,weekday,off_work,2623,Fengyuan,short_delay,4
52986,Xinwuri,backward,42,weekday,off_work,2213,Chiayi,short_delay,4
52987,Xinwuri,backward,43,weekday,off_work,2021,Changhua,short_delay,4
52988,Xinwuri,backward,44,weekday,off_work,3267,Chaozhou,long_delay,4
52989,Xinwuri,backward,45,weekday,off_work,2023,Ershui,short_delay,4
52990,Xinwuri,backward,46,weekday,off_work,3277,Chaozhou,no_delay,4
52991,Xinwuri,backward,47,weekday,off_work,2223,Chiayi,no_delay,4
52992,Xinwuri,backward,48,weekday,off_work,2027,Chiayi,short_delay,4
52993,Xinwuri,backward,49,weekday,off_work,2627,Fengyuan,short_delay,4
52994,Xinwuri,backward,50,weekday,off_work,2233,Chiayi,long_delay,4
52995,Xinwuri,backward,51,weekday,not_commuting_time,3287,Pingtung,short_delay,4
52996,Xinwuri,backward,52,weekday,not_commuting_time,2237,Xinwuri,long_delay,4
52997,Xinwuri,backward,53,weekday,not_commuting_time,2243,Chiayi,long_delay,4
