,Date,ObsTime,StnPres,SeaPres,Temperature,Td_Dew_point,RH,WS,WD,WSGust,WDGust,Precp,PrecpHour,SunShine,GloblRad,Visb,UVI,CloudAmount
0,2020/12/15,01:00,1009.1,1019.3,16.6,13.1,80,2.1,350,5.3,20,0.0,0.0,...,0.00,...,0,...
1,2020/12/15,02:00,1009.3,1019.5,16.4,13.0,80,3.1,10,6.9,20,0.0,0.0,...,0.00,20.0,0,0.0
2,2020/12/15,03:00,1009.2,1019.4,16.3,13.0,81,2.2,20,6.5,20,0.0,0.0,...,0.00,...,0,...
3,2020/12/15,04:00,1009.6,1019.8,16.3,12.8,80,2.0,10,5.2,10,0.0,0.0,...,0.00,...,0,...
4,2020/12/15,05:00,1009.7,1019.9,16.5,13.0,80,2.0,10,7.5,20,0.0,0.0,...,0.00,20.0,0,9.0
5,2020/12/15,06:00,1010.4,1020.6,16.4,13.0,80,2.3,20,5.8,10,0.0,0.0,0.0,0.00,...,0,...
6,2020/12/15,07:00,1010.5,1020.7,16.3,12.8,80,2.4,350,6.0,340,0.0,0.0,0.0,0.00,...,0,...
7,2020/12/15,08:00,1011.2,1021.4,16.6,13.0,79,2.4,360,7.7,330,0.0,0.0,0.0,0.06,20.0,0,6.0
8,2020/12/15,09:00,1011.7,1021.9,18.3,14.0,76,3.2,20,7.7,20,0.0,0.0,0.3,0.79,20.0,1,7.0
9,2020/12/15,10:00,1011.1,1021.2,19.8,15.0,74,2.3,350,6.3,360,0.0,0.0,1.0,1.65,...,3,...
10,2020/12/15,11:00,1010.5,1020.6,20.7,15.4,72,2.5,340,5.2,350,0.0,0.0,1.0,2.08,20.0,4,8.0
11,2020/12/15,12:00,1009.3,1019.3,22.4,16.1,68,0.9,360,5.0,280,0.0,0.0,0.6,1.82,...,5,...
12,2020/12/15,13:00,1008.4,1018.4,22.7,16.1,66,2.4,330,7.8,330,0.0,0.0,1.0,2.30,...,5,...
